Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Делопроизводитель,HR и секретариат,от 103 500 тенге,ип Жексембаева,Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Ведение делопроизводства;,https://enbek.kz/ru/vacancy/deloproizvoditel~3089893,Первое рабочее место,Менеджмент
Делопроизводитель,HR и секретариат,от 103 500 тенге,ИП ГАЙДАРОВА ГГ,Вакансия опубликована 05.05.2023,Адреса нет,полный день,Проектная работа,Организация документооборота;,https://enbek.kz/ru/vacancy/deloproizvoditel~3080908,Первое рабочее место,Менеджмент
Инструктор по физической культуре,Культура и спорт,от 103 500 тенге,"ИП ""A-Dee""",Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Оценка физического состояния учащихся;,https://enbek.kz/ru/vacancy/instruktor-po-fizicheskoi-kulture~3073401,Первое рабочее место,
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Средняя общеобразовательная школа Еркинкала"" отдела образования города Атырау Управления образования Атырауской области""",Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~3071022,Молодежная практика,
Техник-механик (общий профиль),Производство,от 103 500 тенге,"ИП ""A-Dee""",Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,ТО механического оборудования;,https://enbek.kz/ru/vacancy/tekhnik-mekhanik-(obshchii-profil)~3059450,Первое рабочее место,Сервисное обслуживание/производство
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Gemini Corporation""",Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3060746,Первое рабочее место,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Шухрат,Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~3056918,Первое рабочее место,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Bolashak,Вакансия опубликована 26.04.2023,Адреса нет,полный день,Проектная работа,Ведение установленных форм учета;,https://enbek.kz/ru/vacancy/bukhgalter~3057101,Молодежная практика,Финансы
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,"ИП ""GN-Group""",Вакансия опубликована 24.04.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~3052297,Первое рабочее место,
Помощник юриста,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью """"МФО""My Money""""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,"Разработка положений о сделках (договорах), связанных с приобретением или отчуждением имущества;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3053697,Молодежная практика,Юриспруденция
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""STROY PROJECT KZ""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~3046067,Первое рабочее место,Финансы
Экономист,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""STROY PROJECT KZ""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Компьютерная грамотность;,https://enbek.kz/ru/vacancy/ekonomist~3046068,Первое рабочее место,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Galatek""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3046691,Молодежная практика,Финансы
Юрисконсульт,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Galatek""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/yuriskonsult~3046692,Молодежная практика,Юриспруденция
Бухгалтер (средней квалификации),Финансы и бухучет,от 103 500 тенге,"ИП ""Асылай""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/bukhgalter-(srednei-kvalifikacii)~3042075,Первое рабочее место,Финансы
Техник-строитель,Строительство и архитектура,от 103 500 тенге,ИП Коркем,Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Управление полным циклом строительства;,https://enbek.kz/ru/vacancy/tekhnik-stroitel~3043189,Первое рабочее место,Строительство и архитектура
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Коркем,Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3043190,Первое рабочее место,Финансы
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 103 500 тенге,"""GS Group""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,"Сотрудничество с родителями, социальными партнерами;",https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~3043208,Молодежная практика,
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"ИП ""Successful company""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3043210,Первое рабочее место,Медицина
Воспитатель,Образование и воспитание,от 103 500 тенге,"ИП ""Successful company""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/vospitatel~3043211,Молодежная практика,
Теолог,Культура и спорт,от 103 500 тенге,"Общественный фонд ""Центр помощи пострадавшим от деструктивных религиозных течений ""Шапагат""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Разработка и руководство учебными курсами и программами религиозного образования;,https://enbek.kz/ru/vacancy/teolog~3049709,Первое рабочее место,
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,"ИП Алимгалиева Г.Т. ""ЫРЫС""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~3044564,Молодежная практика,
Юрист,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ASI Expert""",Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Заключение договоров и контрактов;,https://enbek.kz/ru/vacancy/yurist~3041490,Молодежная практика,Юриспруденция
Няня в детском саду,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ОРДА Султан""",Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Уход за младенцем;,https://enbek.kz/ru/vacancy/nyanya-v-detskom-sadu~3041104,Молодежная практика,
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ОРДА Султан""",Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~3041094,Первое рабочее место,Менеджмент
Учитель изобразительного искусства,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Разработка эскизов рисунков;,https://enbek.kz/ru/vacancy/uchitel-izobrazitelnogo-iskusstva~3034124,Молодежная практика,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3034125,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3034126,Молодежная практика,Финансы
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~3034127,Молодежная практика,
Педагог начальной школы,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Определение  четких  целей  уроков;,https://enbek.kz/ru/vacancy/pedagog-nachalnoi-shkoly~3034128,Молодежная практика,
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/logoped-defektolog~3034129,Молодежная практика,
Детский психолог,Образование и воспитание,от 103 500 тенге,ИП Taurus,Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Диагностика нарушений психической деятельности субъекта;,https://enbek.kz/ru/vacancy/detskii-psikholog~3034130,Молодежная практика,
Преподаватель языковой школы,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Flat Iron""",Вакансия опубликована 13.04.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/prepodavatel-yazykovoi-shkoly~3040445,Молодежная практика,
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""DAMU Qurylys Group""",Вакансия опубликована 13.04.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~3038223,Молодежная практика,Финансы
Газосварщик,Строительство и архитектура,от 103 500 тенге,"ИП ""Абдурахман Монтаж Строй""",Вакансия опубликована 13.04.2023,Адреса нет,полный день,Проектная работа,Кислородная резка металлов;,https://enbek.kz/ru/vacancy/gazosvarshchik~3031490,Молодежная практика,Строительство и архитектура
Юрист,Юриспруденция,от 103 500 тенге,"ИП ""ABK-boxing""",Вакансия опубликована 12.04.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yurist~3037540,Молодежная практика,Юриспруденция
Помощник юриста,Юриспруденция,от 103 500 тенге,ЧСИ Нурмагамбетова Аида Аликовна,Вакансия опубликована 11.04.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3034088,Молодежная практика,Юриспруденция
Бухгалтер-кассир,Финансы и бухучет,от 103 500 тенге,"ИП ""Кикбаев""",Вакансия опубликована 10.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter-kassir~3030815,Первое рабочее место,Финансы
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Государственное учреждение ""Отдел предпринимательства и сельского хозяйства города Атырау""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Учет и регистрация документов;,https://enbek.kz/ru/vacancy/deloproizvoditel~3026111,Первое рабочее место,Менеджмент
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,"ИП ""SMART CENTER""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Обеспечение методического сопровождения педагогического процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~3017349,Молодежная практика,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,"ИП ""SMART CENTER""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3017350,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"ИП ""Мега-Атырау""",Вакансия опубликована 06.04.2023,Адреса нет,полный день,Проектная работа,Организация бухгалтерского учета и финансово-хозяйственной деятельности;,https://enbek.kz/ru/vacancy/bukhgalter~3015657,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""РитмОйл""",Вакансия опубликована 06.04.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3016051,Молодежная практика,Финансы
Помощник юриста,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью """"МФО""My Money""""",Вакансия опубликована 05.04.2023,Адреса нет,полный день,Проектная работа,Работа с претензиями;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3021501,Молодежная практика,Юриспруденция
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью """"МФО""My Money""""",Вакансия опубликована 05.04.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3021502,Молодежная практика,Финансы
"Специалист, Категория D-O-6",Госслужба,от 103 500 тенге,"Государственное учреждение ""Городской отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Добропорядочность;,"https://enbek.kz/ru/vacancy/specialist,-kategoriya-d-o-6~3018013",Первое рабочее место,
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,"Общественный фонд ""Бір әлем""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~3017219,Молодежная практика,
Учитель физической культуры и спорта,Образование и воспитание,от 103 500 тенге,"Общественный фонд ""Бір әлем""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/uchitel-fizicheskoi-kultury-i-sporta~3017220,Молодежная практика,
Психолог,Медицина и фармацевтика,от 103 500 тенге,"Общественный фонд ""Бір әлем""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Подбор соответствующих методов для проведения психодиагностического обследования;,https://enbek.kz/ru/vacancy/psikholog~3017221,Молодежная практика,Медицина
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,"Общественный фонд ""Бір әлем""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Организация образовательного процесса;,https://enbek.kz/ru/vacancy/logoped-defektolog~3017222,Молодежная практика,
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Общественный фонд ""Бір әлем""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3017223,Молодежная практика,Медицина
Менеджер по персоналу,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Атырауское учебно-производственное предприятие общественного объединения ""Казахское общество слепых""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Ведение делопроизводства;,https://enbek.kz/ru/vacancy/menedzher-po-personalu~3018139,Молодежная практика,Менеджмент
Администратор информационных систем,IT и телекоммуникации,от 103 500 тенге,"Государственное учреждение ""Управление Комитета по правовой статистике и специальным учетам Генеральной прокуратуры Республики Казахстан по Атырауской области""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,"Монтаж и настройка систем видеонаблюдения, СКУД организации;",https://enbek.kz/ru/vacancy/administrator-informacionnykh-sistem~3006855,Молодежная практика,IT
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Управление Комитета по правовой статистике и специальным учетам Генеральной прокуратуры Республики Казахстан по Атырауской области""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~3006856,Молодежная практика,Юриспруденция
Ассистент (общий профиль),HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Sarens Kazakhstan"" (Саренс Казахстан)",Вакансия опубликована 30.03.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/assistent-(obshchii-profil)~3004479,Молодежная практика,Менеджмент
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,"ДК ""Бота""",Вакансия опубликована 24.03.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2994886,Первое рабочее место,
Учитель русского языка и литературы,Образование и воспитание,от 103 500 тенге,"ИП ""Аманжан""",Вакансия опубликована 15.03.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/uchitel-russkogo-yazyka-i-literatury~2986459,Первое рабочее место,
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,"ИП Развивающий центр ""Алмуня""",Вакансия опубликована 15.03.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/logoped-defektolog~2986149,Молодежная практика,
Экономист,Финансы и бухучет,от 103 500 тенге,"Коммунальное государственное учреждение ""Молодежный ресурсный центр города Атырау"" управления внутренней политики Атырауской области""",Вакансия опубликована 15.03.2023,Адреса нет,полный день,Проектная работа,Внедрение плановой и учетной документации;,https://enbek.kz/ru/vacancy/ekonomist~2985923,Молодежная практика,Финансы
IT-дизайнер,IT и телекоммуникации,от 103 500 тенге,"Коммунальное государственное учреждение ""Молодежный ресурсный центр города Атырау"" управления внутренней политики Атырауской области""",Вакансия опубликована 15.03.2023,Адреса нет,полный день,Проектная работа,"Әлеуметтік желіні жүргізу, фотошоп дизайн программаларымен жұмысжасай алу қажет.;",https://enbek.kz/ru/vacancy/it-dizainer~2985924,Молодежная практика,IT
Юрисконсульт,Юриспруденция,от 103 500 тенге,"Коммунальное государственное учреждение ""Молодежный ресурсный центр города Атырау"" управления внутренней политики Атырауской области""",Вакансия опубликована 15.03.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yuriskonsult~2985925,Молодежная практика,Юриспруденция
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,Баймуханова А,Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~2974139,Молодежная практика,Финансы
Зубной техник,Медицина и фармацевтика,от 103 500 тенге,ИП MUNAR,Вакансия опубликована 14.03.2023,Адреса нет,полный день,Проектная работа,Изготовление несъемных зубных протезов;,https://enbek.kz/ru/vacancy/zubnoi-tekhnik~2974556,Первое рабочее место,Медицина
Учитель казахского языка и литературы,Образование и воспитание,от 103 500 тенге,ИП Томирис,Вакансия опубликована 13.03.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~2980951,Молодежная практика,
Электромеханик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ак-Жайык-7""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,"Измерение, проверка параметров технического состояния транспортных средств;",https://enbek.kz/ru/vacancy/elektromekhanik~2975720,Молодежная практика,Сервисное обслуживание/производство
Сварщик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ак-Жайык-7""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Контактная сварка;,https://enbek.kz/ru/vacancy/svarshchik~2975717,Молодежная практика,Сервисное обслуживание/производство
Инженер по качеству,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ак-Жайык-7""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,"Проведение пусконаладочных работ, испытаний и аттестация технологического оборудования;",https://enbek.kz/ru/vacancy/inzhener-po-kachestvu~2975715,Молодежная практика,Сервисное обслуживание/производство
Сварщик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ак-Жайык-7""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Электросварка на автоматических и полуавтоматических машинах;,https://enbek.kz/ru/vacancy/svarshchik~2975709,Первое рабочее место,Сервисное обслуживание/производство
Инженер по информационно-вычислительной системе,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ак-Жайык-7""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,"Установка и настройка системного и прикладного ПО, необходимого для функционирования ИС;",https://enbek.kz/ru/vacancy/inzhener-po-informacionno-vychislitelnoi-sisteme~2975702,Молодежная практика,IT
Кассир,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ак-Жайык-7""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Осуществление наличных расчетов ;,https://enbek.kz/ru/vacancy/kassir~2975695,Молодежная практика,Финансы
Финансист,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ак-Жайык-7""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Экономический анализ хозяйственно-финансовой деятельности;,https://enbek.kz/ru/vacancy/finansist~2975687,Молодежная практика,Финансы
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Управление физической культуры и спорта Атырауской области""",Вакансия опубликована 09.03.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/yurist~2965349,Молодежная практика,Юриспруденция
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""АдилТрансСервис""",Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,Обслуживание локальных сетей и сетевого оборудования;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2959380,Молодежная практика,IT
Помощник юриста,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""АдилТрансСервис""",Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2959381,Молодежная практика,Юриспруденция
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""АдилТрансСервис""",Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2959382,Молодежная практика,Финансы
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"ИП ""СЕРIКҚАЛИ Ж С""",Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,Обслуживание локальных сетей и сетевого оборудования;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2959418,Молодежная практика,IT
Помощник юриста,Юриспруденция,от 103 500 тенге,"ИП ""СЕРIКҚАЛИ Ж С""",Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2959419,Молодежная практика,Юриспруденция
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,"ИП ""СЕРIКҚАЛИ Ж С""",Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~2959420,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""PROFF TIME""",Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~2960379,Первое рабочее место,Финансы
