Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Администратор в студию йоги Алматы,8,от 100 000 KZT до вычета налогов,не требуется,ИП Студия Воздух Нур-Султан,Вакансия опубликована 28 апреля 2023 в Алматы,"Алматы, улица Ауэзова, 60",полный день,"Частичная занятость, полный день",Консультирование клиентов по телефону;Консультирование клиентов;Умение работать в команде;Грамотная речь;Работа с большим объемом информации;,https://almaty.hh.kz/vacancy/79916927
Начинающий мобилограф,3,от 200 000 KZT на руки,не требуется,ТОО AlCom Engineering Group,Вакансия опубликована 28 апреля 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79920210
Смм специалист,3,от 150 000 до 300 000 KZT до вычета налогов,не требуется,ИП BOHEME (ИП Калмурзаев О.М.),Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, улица Казыбек Би, 24",полный день,"Полная занятость, полный день",Грамотная речь;Adobe Lightroom;Грамотность;Креативность;Работа в команде;Грамотная устная и письменная речь;Обработка фото;Копирайтинг;Организация мероприятий для сотрудников;Навыки работы с оргтехникой;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/81000045
Регистратор в образовательный центр,8,от 150 000 до 200 000 KZT на руки,не требуется,"ТОО EDUstream, ТОО",Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, улица Богенбай батыра, 104",полный день,"Полная занятость, полный день",Английский язык;Организаторские навыки;Пользователь ПК;Деловой этикет;Деловое общение;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/81000020
Медицинский регистратор (Администратор),8,от 300 000 KZT на руки,не требуется,ТОО Медицинский центр EMIRMED,Вакансия опубликована 19 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Пользователь ПК;Работа в команде;Грамотность;Улаживание конфликтов;Администрирование;Навыки межличностного общения;Ведение документации;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80270038
"Контролер билетов кинотеатра ""Lumiera Cinema""",40,от 110 000 до 125 000 KZT до вычета налогов,не требуется,ТОО TSUM ADVERTISING,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, Жибек Жолы, проспект Абылай хана, 62",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/71637044
Администратор по ватсапу,8,от 400 000 до 460 000 KZT до вычета налогов,не требуется,ТОО PBM Grand Market,Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Консультирование;Консультирование клиентов по телефону;Консультирование клиентов;входящие звонки;,https://almaty.hh.kz/vacancy/80259290
Менеджер Службы Заботы о Клиентах,40,от 140 000 KZT на руки,не требуется,Kaspi.kz,Вакансия опубликована 2 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79961075
IT Интерн Golang,96,з/п не указана,не требуется,АО Народный банк Казахстана,Вакансия опубликована 17 мая 2023 в Алматы,Алматы,гибкий график,"Стажировка, гибкий график","Умение быстро усваивать новую информацию;Энтузиазм;Желание учиться;Внимательность к деталям, способность работать с большими массивами информации;Умение анализировать;Informatica Power Center;",https://almaty.hh.kz/vacancy/79704747
Директор аналитического центра,157,от 800 000 до 1 200 000 KZT до вычета налогов,не требуется,"Центр развития города Алматы, АО",Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Работа с большим объемом информации;Аналитическое мышление;Деловая переписка;Высшее образование;Экономика;Английский язык;,https://almaty.hh.kz/vacancy/80785675
Администратор в ресторан,74,до 500 000 KZT до вычета налогов,не требуется,ИП Jazzels,Вакансия опубликована 29 апреля 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день","Управление персоналом;Работа в команде;Опытный пользовать ПК, знание MS Office;Организаторские навыки;Мотивация персонала;",https://almaty.hh.kz/vacancy/79938526
Администратор (в сеть клубов виртуальной реальности World Of VR),8,от 150 000 до 350 000 KZT до вычета налогов,не требуется,ИП Хасанов (World of VR),Вакансия опубликована 21 мая 2023 в Алматы,"Алматы, улица Сатпаева, 90/21",сменный график,"Полная занятость, сменный график",Работа в команде;Грамотная речь;Организация мероприятий;Грамотность;Креативность;Администрирование;VR;Харизма;Материальная ответственность;Позитив;Позитивный настрой;Русский язык;Казахский язык;Творческий подход к работе;,https://almaty.hh.kz/vacancy/80777751
Торговый представитель,129,от 300 000 до 400 000 KZT на руки,не требуется,ТОО КазАрстрой,Вакансия опубликована 3 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Поиск и привлечение клиентов;работа с текущей базой клиентов;Мерчендайзинг;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/80053352
Универсальный сотрудник кухонной бригады,94,от 100 000 до 120 000 KZT до вычета налогов,не требуется,ТОО BLACK STAR BURGER NURSULTAN,Вакансия опубликована 5 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Общественное питание;Сервис;Работа с людьми;Обслуживание гостей;Чистоплотность;Кассовый аппарат;Материальная ответственность;Rkeeper;Способность быстро обучаться;Безалкогольные напитки;Дружелюбность;Грамотность;Знание языков;Универсальность;Желание учиться и развиваться;,https://almaty.hh.kz/vacancy/79759996
Администратор на ресепшен в фитнес центр,8,от 140 000 до 200 000 KZT на руки,не требуется,ТОО Компания SC,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Навои, 208/6",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80789308
Администратор клиники,8,от 200 000 до 400 000 KZT на руки,не требуется,ТОО Жана жарык Глазная клиника доктора Кравцова,Вакансия опубликована 21 мая 2023 в Алматы,село Отеген батыр,полный день,"Полная занятость, полный день",Грамотная речь;Пользователь ПК;Работа в команде;Умение работать в команде;Грамотность;,https://almaty.hh.kz/vacancy/80773065
Мерчендайзер,40,от 200 000 до 400 000 KZT на руки,не требуется,ТОО SAKTAZ,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, проспект Аль-Фараби, 144",полный день,"Полная занятость, полный день",Ведение переговоров;Работа в команде;Телефонные переговоры;Грамотная речь;Креативность;Коммуникабельность;Ориентация на результат;Развитие продаж;HoReCa;,https://almaty.hh.kz/vacancy/80938655
Сотрудник склада в Style Box,40,от 200 000 до 250 000 KZT на руки,не требуется,ООО Стайл Бокс,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, жилой комплекс Ботанический Сад, 21",полный день,"Полная занятость, полный день",оформление заказов;Пользователь ПК;Работа в команде;Работа с оргтехникой;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80940587
Тайный проверящий,40,от 100 000 KZT до вычета налогов,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 15 мая 2023 в Алматы,Алматы,гибкий график,"Частичная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/80400723
International English Teacher for International School in Kazakhstan,132,от 2 000 до 2 500 USD на руки,не требуется,ТОО Royal Language & Management Consulting,Вакансия опубликована 24 мая 2023 в Алматы,"Almaty, ulitsa Markova, 43",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80958328
Помощница/Помощник бухгалтера,18,от 300 000 до 350 000 KZT на руки,не требуется,ТОО Progressive logistics,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, улица Шевченко, 165Б",полный день,"Полная занятость, полный день",Расчет заработной платы;1C: Бухгалтерия;Налоговая отчетность;Первичные документы;реализация товаров и услуг;поступление товаров и услуг;MS Office;,https://almaty.hh.kz/vacancy/80432584
Сотрудник склада Style Box (вечерняя смена),40,от 100 000 KZT на руки,не требуется,ООО Стайл Бокс,Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, жилой комплекс Ботанический Сад, 21",полный день,"Частичная занятость, полный день",оформление заказов;Пользователь ПК;Работа в команде;Работа с оргтехникой;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/81022584
Сборщик сэндвичей,94,от 150 000 до 200 000 KZT на руки,не требуется,ИП Ахметова АБ,Вакансия опубликована 17 мая 2023 в Алматы,"Алматы, улица Егизбаева, 7/10",полный день,"Полная занятость, полный день",Работа в команде;Скорость;Выносливость;Исполнительность;,https://almaty.hh.kz/vacancy/80580000
Мобильный мерчандайзер,77,от 200 000 до 320 000 KZT до вычета налогов,не требуется,ТОО Dizzy,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, улица Ратушного, 72",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80240270
Администратор,8,от 200 000 до 250 000 KZT на руки,не требуется,ТОО Atlantic-Dent,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, проспект Гагарина, 309",полный день,"Полная занятость, полный день",Телефонные переговоры;Консультирование клиентов;Заключение договоров;Ведение отчетности;Работа с базами данных;Консультирование клиентов по телефону;,https://almaty.hh.kz/vacancy/80289092
Стажер HR отдела,69,з/п не указана,не требуется,"AIR ASTANA, АО",Вакансия опубликована 19 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Английский язык;Казахский язык;Работа в команде;Способность быстро обучаться;Казахский — B1 — Средний;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80693166
Начинающий специалист IT отдела,84,от 150 000 KZT на руки,не требуется,АО Страховая компания Amanat,Вакансия опубликована 17 мая 2023 в Алматы,"Алматы, проспект Достык, 232",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80018543
Помощник косметолога,56,от 600 000 KZT на руки,не требуется,ТОО HAIM GROUP (ХАЙМ ГРУПП),Вакансия опубликована 26 мая 2023 в Алматы,"Алматы, Абая, микрорайон Кок-Тобе, улица Радлова, 68",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80564296
Дневной администратор интернет-кафе,8,от 130 000 до 180 000 KZT до вычета налогов,не требуется,ТОО League of Gentlemen,Вакансия опубликована 26 мая 2023 в Алматы,Алматы,сменный график,"Полная занятость, сменный график",Администрирование;Общение с гостями;Работа в команде;Деловая коммуникация;Пользователь ПК;Internet;Умение работать в команде;Организаторские навыки;,https://almaty.hh.kz/vacancy/80870523
"Сборщик заказов, подработка",40,з/п не указана,не требуется,ТОО Magnum E-commerce Kazakhstan,Вакансия опубликована 12 мая 2023 в Алматы,Алматы,гибкий график,"Частичная занятость, гибкий график",Работа в команде;Умение работать в команде;Android;Планирование карьеры;Работа в коллективе;,https://almaty.hh.kz/vacancy/80345515
Помощник мастера по ремонту бытовой техники,40,от 300 000 до 450 000 KZT на руки,не требуется,ИП Захарчук Леонид Дмитриевич (A Service),Вакансия опубликована 5 мая 2023 в Алматы,"Алматы, Линия А, метро Байконур",полный день,"Полная занятость, полный день",Пользователь ПК;Ремонт бытовой техники;Ремонт техники;Гарантийное обслуживание;Ремонт;Терпеливость;Стабильность;Техническая грамотность;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80167281
Помощник повара,94,от 182 000 до 280 000 KZT на руки,не требуется,ТОО Whoopie Cakes,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, проспект Абая, 35",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80290916
Администратор стоматологической клиники,8,от 180 000 до 250 000 KZT до вычета налогов,не требуется,ТОО Стоматология Sun Smile,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, улица Пушкина, 74",полный день,"Полная занятость, полный день",Деловое общение;Прием посетителей;Умение работать в команде;Умение работать в коллективе;Точность и внимательность к деталям;Работа с кассой;CRM;Закупка товаров и услуг;Работа с оргтехникой;Работа с базами данных;Корпоративная этика;Ведение переговоров;Делопроизводство;Организаторские навыки;Работа с большим объемом информации;Заключение договоров;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80229232
Администратор проектов (удаленно),8,з/п не указана,не требуется,ТОО БЕСТ ТУР,Вакансия опубликована 24 мая 2023 в Алматы,Алматы,удаленная работа,"Полная занятость, удаленная работа",Грамотная речь;Работа в команде;Клиентоориентированность;Деловое общение;Навыки продаж;Ведение активных клиентов;Удаленная работа;Умение общаться с клиентами;Грамотная письменная речь;Навыки работы с клиентами;Умение легко находить контакт с людьми;СММ;Грамотность;,https://almaty.hh.kz/vacancy/80946950
Python developer (AI-ML team),96,з/п не указана,не требуется,DocuSketch,Вакансия опубликована 23 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Python;Linux;Analytical skills;Organization Skills;ML;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80918578
IT Intern,96,з/п не указана,не требуется,ТОО Якобз Дау Эгбертс Казахстан,Вакансия опубликована 3 мая 2023 в Алматы,Алматы,полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80047419
Хостес,140,от 150 000 до 200 000 KZT на руки,не требуется,ИП Жанабаева,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, улица Маркова, 61/1",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Русский язык;Казахский язык;Дружелюбность;Приветливость;Опрятность;Умение работать с людьми;Внимательность к мелочам;,https://almaty.hh.kz/vacancy/80916891
Медицинская сестра/медицинский брат,64,от 250 000 до 280 000 KZT до вычета налогов,не требуется,ИП Енсебаев М.Ж.,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Медицинская документация;Медицинское оборудование;,https://almaty.hh.kz/vacancy/79433630
Стажер (INKOMPASS – глобальная программа стажировки),40,з/п не указана,не требуется,ТОО Филип Моррис Казахстан,Вакансия опубликована 18 мая 2023 в Алматы,Алматы,полный день,"Стажировка, полный день",Английский язык;Работа в команде;Time management;MS Office;Английский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80654622
Визитный мерчандайзер (подработка),77,от 65 000 до 67 000 KZT на руки,не требуется,ТОО БТЛ МЫ (Планограмма),Вакансия опубликована 26 мая 2023 в Алматы,Алматы,гибкий график,"Частичная занятость, гибкий график",Работа в команде;Гибкость;Мерчендайзинг;Мобильный мерчандайзинг;Работа с магазинами премиум-класса;Работа с магазинами эконом-класса;Блочная выкладка товара;Линейная выкладка товара;Ведение отчетности;Локальные сети;Федеральные сети;Контроль сроков годности;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/81090422
Специалист со знанием английского языка (удаленно),93,от 130 000 KZT на руки,не требуется,ИП Photography Contest,Вакансия опубликована 28 апреля 2023 в Алматы,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Английский язык;Английский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/79921995
Оператор по приёму заказов,84,от 200 000 KZT на руки,не требуется,ТОО Пони Экспресс,Вакансия опубликована 22 мая 2023 в Алматы,"город Алматы, Райымбек батыра, Табачнозаводская улица, 20",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78118366
Помощник менеджера по тендерам со знанием компьютера,119,з/п не указана,не требуется,ТОО FINTEND,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Ломоносова, 61",полный день,"Полная занятость, полный день","Навыки составления отчетности;Google таблицы;Деловая переписка;Грамотная речь;Деловое общение;умение работать с программами Word, Excel, Power Point;Желание расти и развиваться;Профессиональный пользователь ПК;",https://almaty.hh.kz/vacancy/80785370
Engineer,47,з/п не указана,не требуется,АО Home Credit Bank,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день","Python, PL/SQL, Git;",https://almaty.hh.kz/vacancy/80812878
Хостес в ресторан,74,от 270 000 KZT на руки,не требуется,ТОО ADRIANO,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, улица Муканова, 190",сменный график,"Полная занятость, сменный график",Работа в команде;Грамотность;Организация встреч;Прием посетителей;Умение работать в режиме многозадачности;,https://almaty.hh.kz/vacancy/80423361
Монтажник слаботочных и эектрических систем,143,от 150 000 до 250 000 KZT на руки,не требуется,ТОО ЯСАР,Вакансия опубликована 27 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79845693
Дизайнер/Junior Designer,34,от 100 000 до 200 000 KZT на руки,не требуется,ТОО Alberto Casiano,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, улица Курмангазы, 97",гибкий график,"Полная занятость, гибкий график",CorelDRAW;Adobe Photoshop;Figma;Графический дизайн;Опытный пользователь ПК;Дружелюбность;Организованность;Желание обучаться;Позитивное мышление;Быстро учусь;Усидчивость;,https://almaty.hh.kz/vacancy/80931722
Продакт-менеджер (стажёр),73,з/п не указана,не требуется,ТОО Qoldan Holding,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Жумалиева, 86",полный день,"Стажировка, полный день",Русский — C2 — В совершенстве;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80816536
Администратор в Творческий центр,8,от 200 000 до 400 000 KZT до вычета налогов,не требуется,ТОО МУРАГЕР ЛАЙФ,Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, Алатау, проспект Гагарина, 76",полный день,"Полная занятость, полный день",Находить общий язык с людьми и уверенно продавать услуги;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80090549
Младший CMM-специалист,3,з/п не указана,не требуется,ТОО Arbuz Group (Арбуз Груп),Вакансия опубликована 2 мая 2023 в Алматы,"Алматы, Байконур, улица Амангельды, 59А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80010762
Мобилограф в маркетинговое агентство ONTHETOP,40,от 200 000 до 500 000 KZT на руки,не требуется,ТОО ON THE TOP,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Видеосъемка;Съемочный процесс;Обработка видео;Видеомонтаж;Грамотность;,https://almaty.hh.kz/vacancy/80482042
Оператор по обработке архивных документов (г. Алматы),40,от 150 000 до 150 000 KZT на руки,не требуется,ТОО АСиВ,Вакансия опубликована 19 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа в команде;Грамотность;Русский язык;Набор текста;Быстрый набор текста;Высокая скорость работы;,https://almaty.hh.kz/vacancy/80688429
HR-менеджер ( рассмотрим без опыта),8,от 350 000 до 550 000 KZT на руки,не требуется,"ТОО Этажи, ТМ (ТОО Etagi Almaty)",Вакансия опубликована 17 мая 2023 в Алматы,"Алматы, Абая, проспект Назарбаева, 223",полный день,"Полная занятость, полный день",Подбор персонала;Управление персоналом;Обучение персонала;Поиск персонала в открытых источниках;Подбор сотрудников;HR;Многозадачность;Первичная адаптация;Работа с персоналом;Работа в коллективе;Желание учиться и развиваться;Составление планов по подбору;,https://almaty.hh.kz/vacancy/80185873
СММ-менеджер/мобилограф,3,от 100 000 KZT на руки,не требуется,ИП КАРБОЗОВ Н. С,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,гибкий график,"Частичная занятость, гибкий график",Креативность;Adobe Photoshop;Грамотность;Написание текстов;СММ;,https://almaty.hh.kz/vacancy/80802674
Технический специалист \ начинающий специалист,121,от 100 000 до 300 000 KZT до вычета налогов,не требуется,ТОО IT DASS SOLUTIONS,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, проспект Назарбаева, 103",полный день,"Полная занятость, полный день",Техническая поддержка;Поиск информации в интернет;Администрирование;Подготовка отчетов;MS Access;CRM;amoCRM;Битрикс24;,https://almaty.hh.kz/vacancy/80817561
